searching a(1), a(2), ... with 10 thread(s); Ctrl-C to stop

a(11):   5.8%  5.26G/90.00G  379.99M/s  ETA 0:03:43  elapsed 0:00:14  best -        
a(11):   6.0%  5.36G/90.00G  379.64M/s  ETA 0:03:43  elapsed 0:00:14  best -        
a(11):   6.1%  5.45G/90.00G  379.37M/s  ETA 0:03:43  elapsed 0:00:14  best -        
a(11):   6.2%  5.55G/90.00G  379.27M/s  ETA 0:03:43  elapsed 0:00:15  best -        
a(11):   6.3%  5.64G/90.00G  379.17M/s  ETA 0:03:42  elapsed 0:00:15  best -        
a(11):   6.4%  5.74G/90.00G  379.08M/s  ETA 0:03:42  elapsed 0:00:15  best -        
a(11):   6.5%  5.84G/90.00G  379.17M/s  ETA 0:03:42  elapsed 0:00:15  best -        
a(11):   6.6%  5.93G/90.00G  379.03M/s  ETA 0:03:42  elapsed 0:00:16  best -        
a(11):   6.7%  6.02G/90.00G  378.62M/s  ETA 0:03:42  elapsed 0:00:16  best -        
a(11):   6.8%  6.12G/90.00G  378.46M/s  ETA 0:03:42  elapsed 0:00:16  best -        
a(11):   6.9%  6.21G/90.00G  378.19M/s  ETA 0:03:42  elapsed 0:00:16  best -        
a(11):   7.0%  6.30G/90.00G  377.96M/s  ETA 0:03:41  elapsed 0:00:17  best -        
a(11):   7.1%  6.40G/90.00G  377.86M/s  ETA 0:03:41  elapsed 0:00:17  best -        
a(11):   7.2%  6.50G/90.00G  377.79M/s  ETA 0:03:41  elapsed 0:00:17  best -        
a(11):   7.3%  6.59G/90.00G  377.55M/s  ETA 0:03:41  elapsed 0:00:17  best -        
a(11):   7.4%  6.68G/90.00G  377.35M/s  ETA 0:03:41  elapsed 0:00:18  best -        
a(11):   7.5%  6.77G/90.00G  376.87M/s  ETA 0:03:41  elapsed 0:00:18  best -        
a(11):   7.6%  6.86G/90.00G  376.73M/s  ETA 0:03:41  elapsed 0:00:18  best -        
a(11):   7.7%  6.97G/90.00G  376.98M/s  ETA 0:03:40  elapsed 0:00:18  best -        
a(11):   7.8%  7.06G/90.00G  376.71M/s  ETA 0:03:40  elapsed 0:00:19  best -        
a(11):   7.9%  7.15G/90.00G  376.30M/s  ETA 0:03:40  elapsed 0:00:19  best -        
a(11):   8.0%  7.24G/90.00G  375.76M/s  ETA 0:03:40  elapsed 0:00:19  best -        
a(11):   8.1%  7.33G/90.00G  375.79M/s  ETA 0:03:40  elapsed 0:00:20  best -        
a(11):   8.3%  7.43G/90.00G  375.90M/s  ETA 0:03:40  elapsed 0:00:20  best -        
a(11):   8.4%  7.52G/90.00G  375.81M/s  ETA 0:03:39  elapsed 0:00:20  best -        
a(11):   8.5%  7.62G/90.00G  375.79M/s  ETA 0:03:39  elapsed 0:00:20  best -        
a(11):   8.6%  7.71G/90.00G  375.75M/s  ETA 0:03:39  elapsed 0:00:21  best -        
a(11):   8.7%  7.81G/90.00G  375.97M/s  ETA 0:03:39  elapsed 0:00:21  best -        
a(11):   8.8%  7.91G/90.00G  376.11M/s  ETA 0:03:38  elapsed 0:00:21  best -        
a(11):   8.9%  8.01G/90.00G  376.15M/s  ETA 0:03:38  elapsed 0:00:21  best -        
a(11):   9.0%  8.10G/90.00G  376.13M/s  ETA 0:03:38  elapsed 0:00:22  best -        
a(11):   9.1%  8.20G/90.00G  376.14M/s  ETA 0:03:37  elapsed 0:00:22  best -        
a(11):   9.2%  8.30G/90.00G  376.16M/s  ETA 0:03:37  elapsed 0:00:22  best -        
a(11):   9.3%  8.39G/90.00G  376.26M/s  ETA 0:03:37  elapsed 0:00:22  best -        
a(11):   9.4%  8.49G/90.00G  376.24M/s  ETA 0:03:37  elapsed 0:00:23  best -        
a(11):   9.5%  8.59G/90.00G  376.24M/s  ETA 0:03:36  elapsed 0:00:23  best -        
a(11):   9.7%  8.69G/90.00G  376.31M/s  ETA 0:03:36  elapsed 0:00:23  best -        
a(11):   9.8%  8.79G/90.00G  376.34M/s  ETA 0:03:36  elapsed 0:00:23  best -        
a(11):   9.9%  8.89G/90.00G  376.53M/s  ETA 0:03:35  elapsed 0:00:24  best -        
a(11):  10.0%  8.99G/90.00G  376.67M/s  ETA 0:03:35  elapsed 0:00:24  best -        
a(11):  10.1%  9.08G/90.00G  376.62M/s  ETA 0:03:35  elapsed 0:00:24  best -        
a(11):  10.2%  9.18G/90.00G  376.64M/s  ETA 0:03:35  elapsed 0:00:24  best -        
